timestamp,chain,price (2025-05-02),price (2025-05-01),price Change (%),usd_market_cap (2025-05-02),usd_market_cap (2025-05-01),usd_market_cap Change (%),usd_24h_vol (2025-05-02),usd_24h_vol (2025-05-01),usd_24h_vol Change (%),usd_24h_change (2025-05-02),usd_24h_change (2025-05-01),usd_24h_change Change (%),circulating_supply (2025-05-02),circulating_supply (2025-05-01),circulating_supply Change (%),inflation_rate (2025-05-02),inflation_rate (2025-05-01),inflation_rate Change (%),total_supply (2025-05-02),total_supply (2025-05-01),total_supply Change (%)
2025-05-02 00:00,Solana,150.27,146.86,2.32,78117312775.51,76476179387.35,2.15,3737816068.17,3339121506.93,11.94,2.15,0.86,150.8,517680221.76,517667983.87,0.0,5.3,5.3,0.07,599616749.53,599617708.94,-0.0
2025-05-02 06:00,Solana,150.85,148.25,1.75,77515749332.72,77204870374.15,0.4,3745074356.02,3349252498.56,11.82,0.35,1.33,-73.88,517680221.76,517680221.76,0.0,5.3,5.3,0.0,599616749.53,599616749.53,0.0
2025-05-02 12:00,Solana,150.06,151.53,-0.97,78057500925.78,78683128800.9,-0.8,3604609105.72,3811807097.06,-5.44,-0.75,2.67,-128.15,517680221.76,517680221.76,0.0,5.3,5.3,0.0,599616749.53,599616749.53,0.0
2025-05-02 18:00,Solana,151.11,152.19,-0.71,77581028940.08,78344775929.9,-0.97,3193441272.99,3779172426.9,-15.5,-0.99,4.47,-122.04,517680221.76,517680221.76,0.0,5.3,5.3,0.0,599616749.53,599616749.53,0.0
Average,Solana,150.57,149.71,0.58,77817897993.52,77677238623.07,0.18,3570235200.72,3569838382.36,0.01,0.19,2.33,-91.85,517680221.76,517677162.29,0.0,5.3,5.3,0.0,599616749.53,599616989.38,-0.0
2025-05-02 00:00,Avalanche,21.62,20.88,3.54,9027686513.24,8718089600.54,3.55,337403426.68,315521869.25,6.94,3.51,-2.95,-219.12,417089469.61,416962128.7,0.03,4.12,4.18,-1.37,458382807.06,458255195.43,0.03
2025-05-02 06:00,Avalanche,21.96,20.85,5.32,9055717771.32,8820293180.44,2.67,344425811.55,320531263.49,7.45,2.6,-2.3,-212.87,417181900.99,416965840.16,0.05,4.12,4.13,-0.15,458475299.81,458258857.71,0.05
2025-05-02 12:00,Avalanche,21.38,21.36,0.09,8894890323.13,8953362121.27,-0.65,338644421.07,341533918.9,-0.85,-0.71,-0.9,-20.93,417183656.3,416969636.15,0.05,4.12,4.12,-0.03,458477118.67,458262699.64,0.05
2025-05-02 18:00,Avalanche,21.63,21.51,0.56,8926027831.11,8911970845.25,0.16,303279308.61,309785495.2,-2.1,0.09,1.81,-94.93,417244313.31,417023398.37,0.05,4.13,4.09,0.91,458537856.55,458316710.73,0.05
Average,Avalanche,21.65,21.15,2.35,8976080609.7,8850928936.88,1.41,330938241.98,321843136.71,2.83,1.37,-1.08,-226.5,417174835.05,416980250.85,0.05,4.12,4.13,-0.18,458468270.52,458273365.88,0.04
2025-05-02 00:00,Ethereum,1839.92,1793.73,2.58,222051611699.42,216570725289.27,2.53,14243120698.07,13494042647.94,5.55,2.52,-0.28,-989.96,120732850.38,120730454.54,0.0,0.71,0.74,-4.28,120732850.38,120730454.54,0.0
2025-05-02 06:00,Ethereum,1847.29,1807.49,2.2,221429126824.89,218728844324.95,1.23,14082242147.53,13711797184.33,2.7,1.16,0.4,189.79,120732850.38,120730454.54,0.0,0.73,0.71,2.72,120732850.38,120730454.54,0.0
2025-05-02 12:00,Ethereum,1830.15,1820.5,0.53,221361629192.07,222872281640.86,-0.68,13161397736.33,15681080357.62,-16.07,-0.65,1.69,-138.42,120732850.38,120730454.54,0.0,0.73,0.71,2.72,120732850.38,120730454.54,0.0
2025-05-02 18:00,Ethereum,1861.23,1862.83,-0.09,223538450735.92,223943048063.28,-0.18,11814638563.66,14664461733.41,-19.43,-0.2,4.48,-104.53,120732742.03,120732850.38,-0.0,0.73,0.71,2.79,120732742.03,120732850.38,-0.0
Average,Ethereum,1844.65,1821.14,1.29,222095204613.08,220528724829.59,0.71,13325349786.4,14387845480.83,-7.38,0.71,1.57,-55.01,120732823.29,120731053.5,0.0,0.72,0.72,1.05,120732823.29,120731053.5,0.0
2025-05-02 00:00,Binance,599.1,599.02,0.01,87483892429.76,87479842243.21,0.0,572782000.75,717647935.3,-20.19,0.01,-0.21,-106.06,145887575.79,145887575.79,0.0,-4.42,-4.42,0.13,145887575.79,145887575.79,0.0
2025-05-02 06:00,Binance,600.87,599.12,0.29,87395131352.89,87643581971.95,-0.28,616318519.16,705432265.51,-12.63,-0.29,-0.33,-13.46,145887575.79,145887575.79,0.0,-4.41,-4.42,-0.16,145887575.79,145887575.79,0.0
2025-05-02 12:00,Binance,599.37,603.58,-0.7,87305866349.69,88039479332.31,-0.83,630973076.76,630411900.56,0.09,-0.85,0.22,-492.7,145887575.79,145887575.79,0.0,-4.43,-4.39,1.02,145887575.79,145887575.79,0.0
2025-05-02 18:00,Binance,601.61,602.95,-0.22,87524278923.53,87700790221.78,-0.2,495409794.63,587631231.08,-15.69,-0.12,0.43,-127.61,145887575.79,145887575.79,0.0,-4.43,-4.4,0.64,145887575.79,145887575.79,0.0
Average,Binance,600.24,601.17,-0.15,87427292263.97,87715923442.31,-0.33,578870847.82,660280833.11,-12.33,-0.31,0.03,-1236.36,145887575.79,145887575.79,0.0,-4.42,-4.41,0.34,145887575.79,145887575.79,0.0
