timestamp,chain,active_validators (2025-05-01),active_validators (2025-05-02),active_validators Change (%),avg_cu_per_tx (2025-05-01),avg_cu_per_tx (2025-05-02),avg_cu_per_tx Change (%),avg_gas_used (2025-05-01),avg_gas_used (2025-05-02),avg_gas_used Change (%),cost_per_cu_lamports (2025-05-01),cost_per_cu_lamports (2025-05-02),cost_per_cu_lamports Change (%),gas_price_gwei (2025-05-01),gas_price_gwei (2025-05-02),gas_price_gwei Change (%),tps (2025-05-01),tps (2025-05-02),tps Change (%),transaction_fee (2025-05-01),transaction_fee (2025-05-02),transaction_fee Change (%),volume (2025-05-01),volume (2025-05-02),volume Change (%)
2025-05-02 00:00,Avalanche,1442.0,1418.0,-1.66,,,,611508.32559524,919009.48333333,50.29,,,,0.14406557,0.12890377,-10.52,1.0,14.0,1300.0,8.81e-05,0.00011846,34.47,152538974.0,182922233.0,19.92
2025-05-02 06:00,Avalanche,1433.0,1401.0,-2.23,,,,407990.58035714,336311.02083333,-17.57,,,,0.14180585,0.13118923,-7.49,4.0,4.0,0.0,5.786e-05,4.412e-05,-23.74,175692588.0,169339290.0,-3.62
2025-05-02 12:00,Avalanche,1428.0,1398.0,-2.1,,,,474124.12171053,408215.475,-13.9,,,,0.16662342,0.17302596,3.84,2.0,2.0,0.0,7.9e-05,7.063e-05,-10.59,179200610.0,166242916.0,-7.23
2025-05-02 18:00,Avalanche,1423.0,1400.0,-1.62,,,,402668.70833333,580418.8125,44.14,,,,0.15703155,0.16002667,1.91,5.0,2.0,-60.0,6.323e-05,9.288e-05,46.89,171654216.0,165962413.0,-3.32
Average,Avalanche,1431.5,1404.25,-1.9,,,,474072.93399906,560988.697916665,18.33,,,,0.1523815975,0.14828640750000002,-2.69,3.0,5.5,83.33,7.20475e-05,8.15225e-05,13.15,169771597.0,171116713.0,0.79
2025-05-02 00:00,Binance,45.0,45.0,0.0,,,,283471.53008561,436836.27938884,54.1,,,,1.0,1.0,0.0,97.0,65.0,-32.99,0.00028347,0.00043684,54.1,847956232.0,1332454607.0,57.14
2025-05-02 06:00,Binance,45.0,45.0,0.0,,,,209878.73667028,274892.42903255,30.98,,,,1.0,1.0,0.0,41.5,43.0,3.61,0.00020988,0.00027489,30.98,1098256285.0,1317741873.0,19.98
2025-05-02 12:00,Binance,45.0,45.0,0.0,,,,248256.51951427,281075.19852887,13.22,,,,1.0,1.0,0.0,98.0,118.0,20.41,0.00024826,0.00028108,13.22,1097953767.0,1158899129.0,5.55
2025-05-02 18:00,Binance,45.0,45.0,0.0,,,,301864.00932039,311026.5830747,3.04,,,,1.0,1.0,0.0,85.5,66.0,-22.81,0.00030186,0.00031103,3.04,1315186165.0,1155733453.0,-12.12
Average,Binance,45.0,45.0,0.0,,,,260867.69889763749,325957.62250624003,24.95,,,,1.0,1.0,0.0,80.5,73.0,-9.32,0.0002608675,0.00032596000000000003,24.95,1089838112.25,1241207265.5,13.89
2025-05-02 00:00,Solana,1289.0,1286.0,-0.23,24285.30728113,25483.14005877,4.93,,,,2.14958081,0.83010715,-61.38,,,,4348.82083333,4493.49583333,3.33,5.22e-05,2.115e-05,-59.48,3108243803.0,3223572375.0,3.71
2025-05-02 06:00,Solana,1286.0,1286.0,0.0,18106.44740321,27124.38718371,49.81,,,,1.83438232,0.53987185,-70.57,,,,4354.40416667,4330.32916667,-0.55,3.321e-05,1.464e-05,-55.91,3174616708.0,3014937260.0,-5.03
2025-05-02 12:00,Solana,1286.0,1286.0,0.0,18958.49428743,24231.51832745,27.81,,,,0.94392249,1.01233549,7.25,,,,4353.73333333,4567.2,4.9,1.79e-05,2.453e-05,37.08,3156881554.0,3037663289.0,-3.78
2025-05-02 18:00,Solana,1286.0,1286.0,0.0,23296.79798815,25235.97394958,8.32,,,,1.6394351,0.8088618,-50.66,,,,4505.37083333,4373.60833333,-2.92,3.819e-05,2.041e-05,-46.56,3245600033.0,2973475072.0,-8.38
Average,Solana,1286.75,1286.0,-0.06,21161.76173998,25518.754879877502,20.59,,,,1.64183018,0.7977940724999999,-51.41,,,,4390.5822916649995,4441.158333332501,1.15,3.5375000000000006e-05,2.0182500000000002e-05,-42.95,3171335524.5,3062411999.0,-3.43
2025-05-02 00:00,Ethereum,1063591.0,1064584.0,0.09,,,,196566.46552861,184902.70656535,-5.93,,,,0.37843348,0.38910208,2.82,15.0,20.66666667,37.78,7.439e-05,7.195e-05,-3.28,1561651675.0,1828853080.0,17.11
2025-05-02 06:00,Ethereum,1064265.0,1062713.0,-0.15,,,,257374.50280382,166077.8911488,-35.47,,,,0.33467094,0.38407107,14.76,,10.5,,8.614e-05,6.379e-05,-25.95,1686071094.0,1934265056.0,14.72
2025-05-02 12:00,Ethereum,1064265.0,1062713.0,-0.15,,,,222592.49448375,153498.16287821,-31.04,,,,0.44997919,0.57063301,26.81,30.16666667,17.66666667,-41.44,0.00010016,8.759e-05,-12.55,1802155143.0,1945261775.0,7.94
2025-05-02 18:00,Ethereum,1064584.0,1063655.0,-0.09,,,,202916.44503111,158925.74349595,-21.68,,,,2.04356289,0.51392731,-74.85,26.91666667,21.66666667,-19.5,0.00041467,8.168e-05,-80.3,1831662093.0,1867757188.0,1.97
Average,Ethereum,1064176.25,1063416.25,-0.07,,,,219862.47696182248,165851.1260220775,-24.57,,,,0.8016616249999999,0.4644333675000001,-42.07,24.027777779999997,17.625000002500002,-26.65,0.00016884000000000002,7.62525e-05,-54.84,1720385001.25,1894034274.75,10.09
