timestamp,chain,reward_rate (2025-05-02),reward_rate (2025-05-01),reward_rate Change (%),staked_tokens (2025-05-02),staked_tokens (2025-05-01),staked_tokens Change (%),staking_ratio (2025-05-02),staking_ratio (2025-05-01),staking_ratio Change (%),tvl (2025-05-02),tvl (2025-05-01),tvl Change (%)
2025-05-02 00:00,Solana,8.81,8.32,5.83,389896208.66,389896208.66,-0.0,65.02,65.02,0.0,8019351083.32,7891463997.07,1.62
2025-05-02 06:00,Solana,8.81,8.81,0.0,389896208.66,389896208.66,0.0,65.02,65.02,0.0,8042334404.63,7961843693.05,1.01
2025-05-02 12:00,Solana,8.81,8.81,0.0,389896208.66,389896208.66,0.0,65.02,65.02,0.0,7995915505.11,8043697567.18,-0.59
2025-05-02 18:00,Solana,8.81,8.81,0.0,389896208.66,389896208.66,0.0,65.02,65.02,0.0,8036822258.67,8086585111.01,-0.62
Average,Solana,8.81,8.687500000000002,1.41,389896208.66,389896208.66,0.0,65.02,65.02,0.0,8023605812.932501,7995897592.077499,0.35
2025-05-02 00:00,Avalanche,7.52,7.54,-0.23,228689572.4,231266469.62,-1.11,49.89,50.47,-1.14,1347586326.64,1284123137.15,4.94
2025-05-02 06:00,Avalanche,7.52,7.54,-0.23,228578832.33,228271060.2,0.13,49.86,49.81,0.09,1364278704.78,1286205403.43,6.07
2025-05-02 12:00,Avalanche,7.52,7.54,-0.24,228515028.22,227918877.57,0.26,49.84,49.74,0.21,1344943035.77,1304051419.72,3.14
2025-05-02 18:00,Avalanche,7.52,7.52,-0.01,228986979.01,226781950.28,0.97,49.94,49.48,0.92,1351917630.78,1306372624.19,3.49
Average,Avalanche,7.52,7.535,-0.2,228692602.99,228559589.4175,0.06,49.8825,49.875,0.02,1352181424.4925,1295188146.1225,4.4
2025-05-02 00:00,Ethereum,2.98,3.1,-3.78,34129467.68,34097649.83,0.09,28.27,28.24,0.09,52057431759.61,51172089449.2,1.73
2025-05-02 06:00,Ethereum,3.05,2.98,2.35,34069482.99,34119240.86,-0.15,28.22,28.26,-0.15,52300520374.45,51363638231.47,1.82
2025-05-02 12:00,Ethereum,3.05,2.98,2.35,34069482.99,34119240.86,-0.15,28.22,28.26,-0.15,51770472798.72,51708572576.92,0.12
2025-05-02 18:00,Ethereum,3.05,2.98,2.35,34099682.54,34129467.68,-0.09,28.24,28.27,-0.09,52202787172.29,52235185375.49,-0.06
Average,Ethereum,3.0324999999999998,3.0100000000000002,0.75,34092029.05,34116399.8075,-0.07,28.237499999999997,28.2575,-0.07,52082803026.2675,51619871408.27,0.9
2025-05-02 00:00,Binance,1.98,3.05,-35.15,30371560.52,30367930.65,0.01,20.82,20.82,0.01,5893292498.39,5883539463.09,0.17
2025-05-02 06:00,Binance,6.21,1.98,214.14,30376669.4,30370114.2,0.02,20.82,20.82,0.02,5906290860.92,5883540929.76,0.39
2025-05-02 12:00,Binance,6.22,1.98,214.71,30376986.67,30371282.85,0.02,20.82,20.82,0.02,5922549458.2,5923196512.37,-0.01
2025-05-02 18:00,Binance,6.21,1.98,214.41,30376768.29,30371426.25,0.02,20.82,20.82,0.02,5939518496.49,5936473062.22,0.05
Average,Binance,5.155,2.2475,129.37,30375496.22,30370188.487499997,0.02,20.82,20.82,0.0,5915412828.5,5906687491.860001,0.15
